Arquivo;Reuniao;Data (AAAA/MM);Tema_Classificado;Ocorrencias;Relevancia_(%);Palavras_Chave_Ativadas;Trecho_Prova_(Auditoria)
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Transporte Escolar e Fretamento;3;6.8;fretado, fretamento;Palavra Livre: Soninha Francine – apresentou em slides algumas fotos de sugestões e reclamações sobre o transporte coletivo Jorge Miguel - Conselheiro TRANSFETUR - Parabeniza o secretario pela condução do conselho, concorda com o secretario quando afirma que a prioridade na cidade é o transporte publico, com base em pesquisas afirma que os usuários que deixaram de ser transportados pelo fretamento, migram para utilizar seus veículos, contribuindo assim para o aumento do transito na cidade, propõem que seja criada uma comissão para estudo do fretamento, formada pelo poder publico, setor de fretamento e técnicos de transito. [...] A 6ª reunião do Conselho contou ainda com a participação de representantes de sindicatos, entidades representativas de táxis, do segmento de fretados e de pessoas da sociedade civil que expuseram suas opiniões sobre a operação de linhas de ônibus.
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Mobilidade Ativa: Acessibilidade e Pedestres;3;6.8;pedestre;A abertura deste 6º encontro foi feita pelo presidente do Conselho, o secretário municipal de Transportes, Jilmar Tatto, e a tônica do debate foi a Mobilidade Urbana voltada para a importância de ações que priorizem o transporte público coletivo e o pedestre. [...] Apresentação Apresentado foi realizado pelo senhor Horácio Figueira, consultor em Mobilidade Urbana, o conjunto de sugestões inclui, por exemplo, “colocar semáforos com foco em pedestres em todos os cruzamentos onde já existam semáforo para veículos” e “prever todas as facilidades para o pedestre no projeto de mobilidade”.
07_2014_Pleno_ordin_ata.pdf;7ª Reunião Ordinária;2014;Mobilidade Ativa: Bicicletas;47;42.3;bicicleta, ciclista, ciclofaixa, ciclovia;RELATÓRIO 04/06/2014 7ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Rua Genebra, 25 – Centro Pauta: Abertura Cerimônia de Posse dos Conselheiros da Sociedade Civil eleitos Palavra Livre Agenda de Construção do PLAMMOB –Plano Municipal de Mobilidade: • Apresentação da proposta da Rede Cicloviária Debate Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Jilmar Tatto, Felipe Aragones representante dos Ciclistas e Carina Vitral representante UMES.
07_2014_Pleno_ordin_ata.pdf;7ª Reunião Ordinária;2014;Estrutura e Organização da Rede Viária;19;17.1;cet, corredor, faixa exclusiva, via;O CET no Bairro 70 bairros em 2014, as intervenções serão priorizadas nos bairros que o índice de acidentes são altos. [...] Hoje, temos 21 Km de ciclovias em construção nas avenidas Cruzeiro do Sul, Eliseu de Almeida, no bairro Jardim Helena (Zona Leste) e em Parelheiros (Zona Sul), queremos, e vamos, fazer muito mais, a extensão pretendida de 400 Km se somará aos 150 km de ciclovias previstas para serem implantadas junto aos futuros corredores de ônibus.
07_2014_Pleno_ordin_ata.pdf;7ª Reunião Ordinária;2014;Composição e Governança do Conselho;12;10.8;conselheiro, conselho, representante;RELATÓRIO 04/06/2014 7ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Rua Genebra, 25 – Centro Pauta: Abertura Cerimônia de Posse dos Conselheiros da Sociedade Civil eleitos Palavra Livre Agenda de Construção do PLAMMOB –Plano Municipal de Mobilidade: • Apresentação da proposta da Rede Cicloviária Debate Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Jilmar Tatto, Felipe Aragones representante dos Ciclistas e Carina Vitral representante UMES.
07_2014_Pleno_ordin_ata.pdf;7ª Reunião Ordinária;2014;Segurança Viária;9;8.1;acidente, seguranca, velocidade;Palavra Livre: Derli Valadares – Instituto de Etica e Comportamento no Transito: Alertou sobre o número crescente de acidentes com pedestres, ações mais concretas e reduzir medidas, solicitou a divulgação dos índices para acompanhamento da sociedade. [...] O CET no Bairro 70 bairros em 2014, as intervenções serão priorizadas nos bairros que o índice de acidentes são altos.
07_2014_Pleno_ordin_ata.pdf;7ª Reunião Ordinária;2014;Mobilidade Ativa: Acessibilidade e Pedestres;8;7.2;calcada, pedestre, travessia;Palavra Livre: Derli Valadares – Instituto de Etica e Comportamento no Transito: Alertou sobre o número crescente de acidentes com pedestres, ações mais concretas e reduzir medidas, solicitou a divulgação dos índices para acompanhamento da sociedade. [...] Diretrizes para ciclovias “padrão CET” Para planejar a futura rede de 400 Km de ciclovias, as diretrizes a nortear os técnicos da CET foram revistas e, em suma, determinam que as futuras ciclovias devam ter o seguinte padrão: • Ligações perimetrais e radiais: constituição de rede estrutural cicloviária • Conectividade dos trajetos • Linearidade: menor distância possível na viagem • Funcionalidade: importância das ligações que proporciona (escolas, praças, etc.) • Integração modal com transporte de média e alta capacidade • Uso da estrutura como meio de transporte • Preferência por ruas secundárias • Não se eliminar a faixa de rolamento • Implantar preferencialmente no lado esquerdo • Ser preferencialmente bidirecional Como a ciclovia será sinalizada na via pública (ou seja, não em calçadas), será necessário remover vagas de estacionamento (inclusive as de Zona Azul) nas vias contempladas por este plano.
07_2014_Pleno_ordin_ata.pdf;7ª Reunião Ordinária;2014;Transporte Público Coletivo;6;5.4;onibus, transporte coletivo;Hoje, temos 21 Km de ciclovias em construção nas avenidas Cruzeiro do Sul, Eliseu de Almeida, no bairro Jardim Helena (Zona Leste) e em Parelheiros (Zona Sul), queremos, e vamos, fazer muito mais, a extensão pretendida de 400 Km se somará aos 150 km de ciclovias previstas para serem implantadas junto aos futuros corredores de ônibus. [...] Os novos percursos deverão ser espalhados pela cidade conectados com outros modais de transporte, como terminais de ônibus, equipamentos públicos, escolas, praças, parques e locais de trabalho.
08_2014_Pleno_ordin_ata.pdf;8ª Reunião Ordinária;2014;Transporte Público Coletivo;18;27.7;onibus, sptrans, transporte coletivo;Bueno Camargo – Conselheiro suplente da sociedade civil – segmento Região Oeste – Convidar a SMT, SPTrans e CET para participarem da audiência pública no dia 02/08, tratando da criação de faixa exclusiva na rodovia Raposo Tavares. [...] Bárbara de Oliveira Lopes – Conselheira titular da sociedade civil – segmento Centro Expandido – Pergunta sobre a implantação do ônibus 24 horas e auditoria.
08_2014_Pleno_ordin_ata.pdf;8ª Reunião Ordinária;2014;Composição e Governança do Conselho;17;26.2;conselheiro, conselho;RELATÓRIO 8ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 30/07/2014 - Auditório da Biblioteca Mário de Andrade Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer número de conselheiros presentes) 9h05 - Palavra Livre 9h35 - Contribuição para o Plano de Mobilidade Urbana preparada pelo Sindicato das Empresas de Transporte de Passageiros por Fretamento e para Turismo de São Paulo. [...] TRANSFRETUR 10h35 – Debate 11h00 – Indicação dos Conselheiros da Sociedade Civil para o CPOP e para Coordenação Executiva do CMTT Composição da Mesa: Sr.
